userName,review,at,rating,date,bank,source
Amistad Civil,the worst app humans ever created,2025-06-09 13:27:28,1,2025-06-09,BOA,Google Play
Phillmon Haftom,it's not working,2025-06-05 08:57:36,3,2025-06-05,BOA,Google Play
Robel Alebachew,"Hello, I’m facing a problem with the BOA Mobile app. Every time I enter my phone number and password, the app crashes and shows an error that says “BoaMobile closed because this app has a bug.” I tried updating, reinstalling, and clearing cache, but nothing worked. Please fix this bug in the next update. I really need access to my account. Thank you.",2025-06-03 13:21:34,1,2025-06-03,BOA,Google Play
Haymanot Anberber,exceptional,2025-06-03 07:32:35,5,2025-06-03,BOA,Google Play
Mohamed Abdillahi,BoA Mobile good bank,2025-06-02 11:25:12,5,2025-06-02,BOA,Google Play
Ahadu tech,this is worest app 24/7 loading,2025-06-01 12:51:10,1,2025-06-01,BOA,Google Play
Fentaw Kefyalew,This App is not interest for Android phone Please update it .,2025-06-01 07:17:10,1,2025-06-01,BOA,Google Play
Mansour Abdulkadir,BoA system is confartable,2025-05-31 21:47:32,5,2025-05-31,BOA,Google Play
Ethiopia,"this app, for me , is a waste of time. It doesn't work . I can't even long in, and it really piss me off. FIX THE PROBLEM",2025-05-27 18:16:27,1,2025-05-27,BOA,Google Play
Gizachew Tesfahun,Good service.,2025-05-25 16:14:52,3,2025-05-25,BOA,Google Play
Tewodros Regasa,the app crush frequently,2025-05-24 09:24:56,1,2025-05-24,BOA,Google Play
Mabratu Tesfaye,good,2025-05-22 12:34:58,5,2025-05-22,BOA,Google Play
amanuel fikiru,You guys keeps getting worst,2025-05-22 05:57:39,1,2025-05-22,BOA,Google Play
Fikadu Netsere,good,2025-05-21 16:16:49,5,2025-05-21,BOA,Google Play
Natty Solomon,"This app is a joke. It crashes more than it works, takes forever to load, and half the features are just decorative at this point. Can’t log in, can’t transfer money, can’t even check my balance without it bugging out. To the developer: Are you actually trying to make this work, or is this some kind of social experiment to test our patience? Did you build this in your sleep? Because it definitely looks like it. If this is your idea of a functional app, maybe consider a different career path🙏",2025-05-21 10:49:15,1,2025-05-21,BOA,Google Play
Deginet Zeleke E,BoA,2025-05-20 12:21:55,2,2025-05-20,BOA,Google Play
Nurhussen Mohammed,good,2025-05-20 07:57:13,5,2025-05-20,BOA,Google Play
Usu Elemo,but not opening on android,2025-05-19 14:19:32,4,2025-05-19,BOA,Google Play
Dagar,Worst App ever. Totally unreliable. And it didn't work at all for the last 4 months.,2025-05-18 12:36:47,1,2025-05-18,BOA,Google Play
NURI KEDU,amazing,2025-05-18 11:34:19,5,2025-05-18,BOA,Google Play
EYOB FASIL ALEMAYEHU,excellent app,2025-05-16 18:34:42,4,2025-05-16,BOA,Google Play
Mohammed Siraj,excellent,2025-05-15 12:42:43,5,2025-05-15,BOA,Google Play
Mule Kebede,ሞላዬ ከበደ,2025-05-14 12:47:57,5,2025-05-14,BOA,Google Play
fire biru,"this app does no work on Samsung a51, it just gives a preview of the logo",2025-05-11 16:07:08,1,2025-05-11,BOA,Google Play
Samson Bogale,nice,2025-05-10 15:48:38,5,2025-05-10,BOA,Google Play
bogale abunu,"i entered incorrect security question by mistake boa app lock pin forever, why is there no other options? ?? i contacted different branchs more then 4times but they didn't able to solve this issue .",2025-05-10 09:44:44,5,2025-05-10,BOA,Google Play
Eyuel Baharu,Best app,2025-05-09 13:12:56,5,2025-05-09,BOA,Google Play
Abdu berHanu,liking this application good 👍,2025-05-07 15:34:10,5,2025-05-07,BOA,Google Play
Ahmed Abdo Bedaso,"This app future is good, but there is problems with apps to reset and activate it, which is difficult even to the branch staffs, and it takes too long times to active at the branch plus most of the time high expected failure of activation after process at the counter and OTP sent not work",2025-05-06 15:06:33,1,2025-05-06,BOA,Google Play
Amnuel Gashaw Aman,good,2025-05-06 14:44:32,5,2025-05-06,BOA,Google Play
Kidus Yohannes,good,2025-05-02 18:50:25,5,2025-05-02,BOA,Google Play
Cherie,good,2025-04-30 08:23:56,4,2025-04-30,BOA,Google Play
Amare Tilahun,good,2025-04-30 07:34:17,4,2025-04-30,BOA,Google Play
Kalid Kalid,wow,2025-04-28 14:51:26,5,2025-04-28,BOA,Google Play
Parish Duop,it's really good 👍,2025-04-23 16:44:14,5,2025-04-23,BOA,Google Play
Natina'el Taye,Bad app . it stuck when you open and noting WORKS.,2025-04-23 11:16:20,1,2025-04-23,BOA,Google Play
Nahom Abebe,"the app isn't working after it asked me the password it starts loading, but it doesn't open",2025-04-20 18:05:21,3,2025-04-20,BOA,Google Play
Wase Kedir,Best,2025-04-19 15:38:02,2,2025-04-19,BOA,Google Play
Abel Hubena,It keeps showing this pop up to turn off developer options even tho it's off! I had to turn on and then off to make it work! This is a horrible experience and needs a fix asap! Plus kinda slow.,2025-04-19 04:15:54,1,2025-04-19,BOA,Google Play
Mule Negte,yideg,2025-04-17 21:18:40,1,2025-04-17,BOA,Google Play
Shimelis Keterew,አይከፍትም እኮ,2025-04-17 07:12:16,1,2025-04-17,BOA,Google Play
Amanuel fitiwi,great boa,2025-04-10 11:33:26,5,2025-04-10,BOA,Google Play
Tesfaye Tegegne,Best,2025-04-10 08:53:01,5,2025-04-10,BOA,Google Play
Tsegaye,boa of mobile backing,2025-04-09 11:32:34,5,2025-04-09,BOA,Google Play
Mezemir Haset,nice,2025-04-09 01:01:08,5,2025-04-09,BOA,Google Play
Joni Eden,faster bank of Abissinya,2025-04-08 13:36:23,5,2025-04-08,BOA,Google Play
Yared Getachew,i would have given it a lower if it was possible because it crush so much and it take the bank so long to fix the bug,2025-04-08 07:12:19,1,2025-04-08,BOA,Google Play
