review,rating,date,bank,source,sentiment_label,sentiment_score,theme
the worst app humans ever created,1,2025-06-09,BOA,Google Play,NEGATIVE,0.9998008608818054,UI/UX
it's not working,3,2025-06-05,BOA,Google Play,NEGATIVE,0.9997857213020325,Other
"Hello, I’m facing a problem with the BOA Mobile app. Every time I enter my phone number and password, the app crashes and shows an error that says “BoaMobile closed because this app has a bug.” I tried updating, reinstalling, and clearing cache, but nothing worked. Please fix this bug in the next update. I really need access to my account. Thank you.",1,2025-06-03,BOA,Google Play,NEGATIVE,0.9994151592254639,"Account Access, UI/UX, Performance"
exceptional,5,2025-06-03,BOA,Google Play,POSITIVE,0.9998514652252197,Other
BoA Mobile good bank,5,2025-06-02,BOA,Google Play,POSITIVE,0.9984728693962097,Other
this is worest app 24/7 loading,1,2025-06-01,BOA,Google Play,NEGATIVE,0.9934743046760559,UI/UX
This App is not interest for Android phone Please update it .,1,2025-06-01,BOA,Google Play,NEGATIVE,0.9971383810043335,UI/UX
BoA system is confartable,5,2025-05-31,BOA,Google Play,NEGATIVE,0.9980142116546631,Other
"this app, for me , is a waste of time. It doesn't work . I can't even long in, and it really piss me off. FIX THE PROBLEM",1,2025-05-27,BOA,Google Play,NEGATIVE,0.9998049139976501,UI/UX
Good service.,3,2025-05-25,BOA,Google Play,POSITIVE,0.9998533725738525,Customer Support
the app crush frequently,1,2025-05-24,BOA,Google Play,NEGATIVE,0.998525083065033,UI/UX
good,5,2025-05-22,BOA,Google Play,POSITIVE,0.9998161196708679,Other
You guys keeps getting worst,1,2025-05-22,BOA,Google Play,NEGATIVE,0.9997075200080872,Other
good,5,2025-05-21,BOA,Google Play,POSITIVE,0.9998161196708679,Other
"This app is a joke. It crashes more than it works, takes forever to load, and half the features are just decorative at this point. Can’t log in, can’t transfer money, can’t even check my balance without it bugging out. To the developer: Are you actually trying to make this work, or is this some kind of social experiment to test our patience? Did you build this in your sleep? Because it definitely looks like it. If this is your idea of a functional app, maybe consider a different career path🙏",1,2025-05-21,BOA,Google Play,NEGATIVE,0.9990266561508179,"Transactions, UI/UX, Performance"
BoA,2,2025-05-20,BOA,Google Play,NEGATIVE,0.74105304479599,Other
good,5,2025-05-20,BOA,Google Play,POSITIVE,0.9998161196708679,Other
but not opening on android,4,2025-05-19,BOA,Google Play,NEGATIVE,0.9952228665351868,Other
Worst App ever. Totally unreliable. And it didn't work at all for the last 4 months.,1,2025-05-18,BOA,Google Play,NEGATIVE,0.9997984766960144,UI/UX
amazing,5,2025-05-18,BOA,Google Play,POSITIVE,0.999875545501709,Other
excellent app,4,2025-05-16,BOA,Google Play,POSITIVE,0.9998356103897095,UI/UX
excellent,5,2025-05-15,BOA,Google Play,POSITIVE,0.9998434782028198,Other
ሞላዬ ከበደ,5,2025-05-14,BOA,Google Play,NEGATIVE,0.7850591540336609,Other
"this app does no work on Samsung a51, it just gives a preview of the logo",1,2025-05-11,BOA,Google Play,NEGATIVE,0.9992283582687378,UI/UX
nice,5,2025-05-10,BOA,Google Play,POSITIVE,0.9998552799224854,Other
"i entered incorrect security question by mistake boa app lock pin forever, why is there no other options? ?? i contacted different branchs more then 4times but they didn't able to solve this issue .",5,2025-05-10,BOA,Google Play,NEGATIVE,0.9994921684265137,UI/UX
