data,nextPaginationToken
"{'id': 'be2cb2ac-bbe0-4175-81c4-9f6c86afdaaa', 'userName': 'Aim4 Beyond', 'userImage': 'https://play-lh.googleusercontent.com/a/ACg8ocJ8haRPi_VW5lsN16hQDpUE8f3f24u6P2mvRwSw8wBpampb4g=mo', 'date': '2025-06-06T06:54:11.808Z', 'score': 4, 'scoreText': '4', 'url': 'https://play.google.com/store/apps/details?id=com.combanketh.mobilebanking&reviewId=be2cb2ac-bbe0-4175-81c4-9f6c86afdaaa', 'title': None, 'text': '""Why don’t your ATMs support account-to-account transfers like other countries( Kenya, Nigeria , South africa)""', 'replyDate': None, 'replyText': None, 'version': None, 'thumbsUp': 0, 'criterias': []}",Cs0BIsoBAWOhxG8r94CwQW2aDoN9MC4nXrzQU0aWeOuSGKiwsqpxHlSCfeuGDyIhT1n6o_TJxKcJwjRKo2nd3sbpl88cJOw1vJP0agPYvxbN86A6Ecc_-9e_Uwpt6rRaJ5z2bVKzniz9hmsO4GS9tdU_9efNwme3gMq09vdoqRkXh4ctBADdwI6_5PGSUCk5WWLSmdpIzVqi67uueFLNlQSUvlD9ldRyJ1ab7jBlOXYWpKYXL2Lusk8s7DI2WNxqllh9FZ3B6qEIFShSiVNYkQ
"{'id': '8efd71e9-59cd-41ce-8c5c-12052dee9ad0', 'userName': 'zakir man', 'userImage': 'https://play-lh.googleusercontent.com/a/ACg8ocIaDh7pRBLVsnHLsBv46_gAKfsn-qU-2XjRVXPA7TqSZDhWXQ=mo', 'date': '2025-06-05T19:16:56.433Z', 'score': 1, 'scoreText': '1', 'url': 'https://play.google.com/store/apps/details?id=com.combanketh.mobilebanking&reviewId=8efd71e9-59cd-41ce-8c5c-12052dee9ad0', 'title': None, 'text': 'what is this app problem???', 'replyDate': None, 'replyText': None, 'version': '5.1.0', 'thumbsUp': 0, 'criterias': []}",Cs0BIsoBAWOhxG8r94CwQW2aDoN9MC4nXrzQU0aWeOuSGKiwsqpxHlSCfeuGDyIhT1n6o_TJxKcJwjRKo2nd3sbpl88cJOw1vJP0agPYvxbN86A6Ecc_-9e_Uwpt6rRaJ5z2bVKzniz9hmsO4GS9tdU_9efNwme3gMq09vdoqRkXh4ctBADdwI6_5PGSUCk5WWLSmdpIzVqi67uueFLNlQSUvlD9ldRyJ1ab7jBlOXYWpKYXL2Lusk8s7DI2WNxqllh9FZ3B6qEIFShSiVNYkQ
"{'id': 'b12d0383-9b27-4e49-a94d-277a43b15800', 'userName': 'Yesuf Ahmed', 'userImage': 'https://play-lh.googleusercontent.com/a/ACg8ocKGPQACprQ8i86KsvFIip9JVo_DJt7Cn1txAGLmBub8N7WzfVc=mo', 'date': '2025-06-05T12:55:10.900Z', 'score': 5, 'scoreText': '5', 'url': 'https://play.google.com/store/apps/details?id=com.combanketh.mobilebanking&reviewId=b12d0383-9b27-4e49-a94d-277a43b15800', 'title': None, 'text': 'the app is proactive and a good connections.', 'replyDate': None, 'replyText': None, 'version': '5.1.0', 'thumbsUp': 0, 'criterias': []}",Cs0BIsoBAWOhxG8r94CwQW2aDoN9MC4nXrzQU0aWeOuSGKiwsqpxHlSCfeuGDyIhT1n6o_TJxKcJwjRKo2nd3sbpl88cJOw1vJP0agPYvxbN86A6Ecc_-9e_Uwpt6rRaJ5z2bVKzniz9hmsO4GS9tdU_9efNwme3gMq09vdoqRkXh4ctBADdwI6_5PGSUCk5WWLSmdpIzVqi67uueFLNlQSUvlD9ldRyJ1ab7jBlOXYWpKYXL2Lusk8s7DI2WNxqllh9FZ3B6qEIFShSiVNYkQ
"{'id': 'dd9f9e37-177a-46df-b877-d0edaa9aed29', 'userName': 'Yonas Mekonnen', 'userImage': 'https://play-lh.googleusercontent.com/a-/ALV-UjVlceONIeYBvSlJqr38IAsNE5k_M3YUSsER5O-Y1z6nGpJKdlyJ', 'date': '2025-06-05T08:12:49.500Z', 'score': 3, 'scoreText': '3', 'url': 'https://play.google.com/store/apps/details?id=com.combanketh.mobilebanking&reviewId=dd9f9e37-177a-46df-b877-d0edaa9aed29', 'title': None, 'text': 'I cannot send to cbebirr app. through this app.', 'replyDate': None, 'replyText': None, 'version': None, 'thumbsUp': 0, 'criterias': []}",Cs0BIsoBAWOhxG8r94CwQW2aDoN9MC4nXrzQU0aWeOuSGKiwsqpxHlSCfeuGDyIhT1n6o_TJxKcJwjRKo2nd3sbpl88cJOw1vJP0agPYvxbN86A6Ecc_-9e_Uwpt6rRaJ5z2bVKzniz9hmsO4GS9tdU_9efNwme3gMq09vdoqRkXh4ctBADdwI6_5PGSUCk5WWLSmdpIzVqi67uueFLNlQSUvlD9ldRyJ1ab7jBlOXYWpKYXL2Lusk8s7DI2WNxqllh9FZ3B6qEIFShSiVNYkQ
"{'id': '8e34703c-203c-4180-8b32-bfd0b3f0c871', 'userName': 'Yibrah Yebo', 'userImage': 'https://play-lh.googleusercontent.com/a/ACg8ocIKkRGGYSkPVjJIRB6dn6Z59tMY5ohTxGwr1OsRoa8VOENAyw=mo', 'date': '2025-06-05T07:21:59.624Z', 'score': 4, 'scoreText': '4', 'url': 'https://play.google.com/store/apps/details?id=com.combanketh.mobilebanking&reviewId=8e34703c-203c-4180-8b32-bfd0b3f0c871', 'title': None, 'text': 'good', 'replyDate': None, 'replyText': None, 'version': None, 'thumbsUp': 0, 'criterias': []}",Cs0BIsoBAWOhxG8r94CwQW2aDoN9MC4nXrzQU0aWeOuSGKiwsqpxHlSCfeuGDyIhT1n6o_TJxKcJwjRKo2nd3sbpl88cJOw1vJP0agPYvxbN86A6Ecc_-9e_Uwpt6rRaJ5z2bVKzniz9hmsO4GS9tdU_9efNwme3gMq09vdoqRkXh4ctBADdwI6_5PGSUCk5WWLSmdpIzVqi67uueFLNlQSUvlD9ldRyJ1ab7jBlOXYWpKYXL2Lusk8s7DI2WNxqllh9FZ3B6qEIFShSiVNYkQ
"{'id': '6f0c7fa2-3ce1-4310-b135-54fe0cb9fccd', 'userName': 'kibru tebeka', 'userImage': 'https://play-lh.googleusercontent.com/a-/ALV-UjXQ7_w9PwBL5jMoLjyEEFRaD5_9O7Z7XAM3rxcFPdMJU6b8F6_N', 'date': '2025-06-05T04:38:12.860Z', 'score': 1, 'scoreText': '1', 'url': 'https://play.google.com/store/apps/details?id=com.combanketh.mobilebanking&reviewId=6f0c7fa2-3ce1-4310-b135-54fe0cb9fccd', 'title': None, 'text': 'not functional', 'replyDate': None, 'replyText': None, 'version': '5.1.0', 'thumbsUp': 0, 'criterias': []}",Cs0BIsoBAWOhxG8r94CwQW2aDoN9MC4nXrzQU0aWeOuSGKiwsqpxHlSCfeuGDyIhT1n6o_TJxKcJwjRKo2nd3sbpl88cJOw1vJP0agPYvxbN86A6Ecc_-9e_Uwpt6rRaJ5z2bVKzniz9hmsO4GS9tdU_9efNwme3gMq09vdoqRkXh4ctBADdwI6_5PGSUCk5WWLSmdpIzVqi67uueFLNlQSUvlD9ldRyJ1ab7jBlOXYWpKYXL2Lusk8s7DI2WNxqllh9FZ3B6qEIFShSiVNYkQ
"{'id': 'f0dd744a-9409-4619-9800-7ea501571b09', 'userName': 'Abreham Shiferaw', 'userImage': 'https://play-lh.googleusercontent.com/a/ACg8ocIllhkRDpepY0qj4wv4WyF-vtlyLaq9qjoQbQyJ6dBvCPVbiA=mo', 'date': '2025-06-04T18:33:36.126Z', 'score': 1, 'scoreText': '1', 'url': 'https://play.google.com/store/apps/details?id=com.combanketh.mobilebanking&reviewId=f0dd744a-9409-4619-9800-7ea501571b09', 'title': None, 'text': ""everytime you uninstall the app you have to reach them out physically. very oldy! if that's one of security layer, they'd check for fraud attempt via app source directly(source:- app store, play store ... etc) implicitly ! we are in 2025, physical presence for every app install is traditional(traditionally very rare)."", 'replyDate': None, 'replyText': None, 'version': '5.1.0', 'thumbsUp': 0, 'criterias': []}",Cs0BIsoBAWOhxG8r94CwQW2aDoN9MC4nXrzQU0aWeOuSGKiwsqpxHlSCfeuGDyIhT1n6o_TJxKcJwjRKo2nd3sbpl88cJOw1vJP0agPYvxbN86A6Ecc_-9e_Uwpt6rRaJ5z2bVKzniz9hmsO4GS9tdU_9efNwme3gMq09vdoqRkXh4ctBADdwI6_5PGSUCk5WWLSmdpIzVqi67uueFLNlQSUvlD9ldRyJ1ab7jBlOXYWpKYXL2Lusk8s7DI2WNxqllh9FZ3B6qEIFShSiVNYkQ
"{'id': '3949d8e0-7ac4-4b43-b4f4-a45d6a888a85', 'userName': 'Ibrahim Sultan', 'userImage': 'https://play-lh.googleusercontent.com/a/ACg8ocI83pD7rwMdWhbBkMe_Uf9G-N3ie4cpbd8WHREwtKKqobor9Q=mo', 'date': '2025-06-04T17:54:30.837Z', 'score': 4, 'scoreText': '4', 'url': 'https://play.google.com/store/apps/details?id=com.combanketh.mobilebanking&reviewId=3949d8e0-7ac4-4b43-b4f4-a45d6a888a85', 'title': None, 'text': 'አካውንት የምናስገባበት ቦታ ስም ጽፈን ነው ከዚህ በፊት የላክንባቸውን አካዉንቶች የምንፈልገዉ ነገር ግን አዲስ አካውንቶች mr ብለዉ የሚጀምሩ በዝተዋል ግን አፕልኬሽኑ space ስንጽፍ አይቀበልም ቢስተካከል', 'replyDate': None, 'replyText': None, 'version': '5.1.0', 'thumbsUp': 0, 'criterias': []}",Cs0BIsoBAWOhxG8r94CwQW2aDoN9MC4nXrzQU0aWeOuSGKiwsqpxHlSCfeuGDyIhT1n6o_TJxKcJwjRKo2nd3sbpl88cJOw1vJP0agPYvxbN86A6Ecc_-9e_Uwpt6rRaJ5z2bVKzniz9hmsO4GS9tdU_9efNwme3gMq09vdoqRkXh4ctBADdwI6_5PGSUCk5WWLSmdpIzVqi67uueFLNlQSUvlD9ldRyJ1ab7jBlOXYWpKYXL2Lusk8s7DI2WNxqllh9FZ3B6qEIFShSiVNYkQ
"{'id': '36f83ed0-3935-4ebd-98e5-34cf25095d32', 'userName': 'oliyad werku', 'userImage': 'https://play-lh.googleusercontent.com/a-/ALV-UjX5FpDLm6f-V65Jq_eKnmYL3ZGSnj7N4uvVwsGnGphvlFzRIKQt', 'date': '2025-06-04T16:59:04.856Z', 'score': 5, 'scoreText': '5', 'url': 'https://play.google.com/store/apps/details?id=com.combanketh.mobilebanking&reviewId=36f83ed0-3935-4ebd-98e5-34cf25095d32', 'title': None, 'text': 'best', 'replyDate': None, 'replyText': None, 'version': '5.1.0', 'thumbsUp': 0, 'criterias': []}",Cs0BIsoBAWOhxG8r94CwQW2aDoN9MC4nXrzQU0aWeOuSGKiwsqpxHlSCfeuGDyIhT1n6o_TJxKcJwjRKo2nd3sbpl88cJOw1vJP0agPYvxbN86A6Ecc_-9e_Uwpt6rRaJ5z2bVKzniz9hmsO4GS9tdU_9efNwme3gMq09vdoqRkXh4ctBADdwI6_5PGSUCk5WWLSmdpIzVqi67uueFLNlQSUvlD9ldRyJ1ab7jBlOXYWpKYXL2Lusk8s7DI2WNxqllh9FZ3B6qEIFShSiVNYkQ
"{'id': 'f2bb4b73-090e-4834-8c89-2263a1158c38', 'userName': 'Aschalew Fereja', 'userImage': 'https://play-lh.googleusercontent.com/a/ACg8ocK0uZMfanJAYIpdKLaNqryaczX607PY3AQlyox5ZS3ygBsnYQ=mo', 'date': '2025-06-04T15:22:41.777Z', 'score': 5, 'scoreText': '5', 'url': 'https://play.google.com/store/apps/details?id=com.combanketh.mobilebanking&reviewId=f2bb4b73-090e-4834-8c89-2263a1158c38', 'title': None, 'text': 'bezabih', 'replyDate': None, 'replyText': None, 'version': None, 'thumbsUp': 0, 'criterias': []}",Cs0BIsoBAWOhxG8r94CwQW2aDoN9MC4nXrzQU0aWeOuSGKiwsqpxHlSCfeuGDyIhT1n6o_TJxKcJwjRKo2nd3sbpl88cJOw1vJP0agPYvxbN86A6Ecc_-9e_Uwpt6rRaJ5z2bVKzniz9hmsO4GS9tdU_9efNwme3gMq09vdoqRkXh4ctBADdwI6_5PGSUCk5WWLSmdpIzVqi67uueFLNlQSUvlD9ldRyJ1ab7jBlOXYWpKYXL2Lusk8s7DI2WNxqllh9FZ3B6qEIFShSiVNYkQ
