userName,review,at,rating,date,bank,source
Daniel Ephrem,So bad now and hard to use,2025-06-09 15:31:56,5,2025-06-09,CBE,Google Play
abdulkerim habib,"it is so amazing app. but, it is better to update it to access without any internet fees. just make it to open by free internet service when we open data connection.",2025-06-09 13:20:06,5,2025-06-09,CBE,Google Play
Abdulhalim Bedre,v.good app,2025-06-09 08:49:09,4,2025-06-09,CBE,Google Play
Moha Yimer,very good app,2025-06-08 22:24:23,1,2025-06-08,CBE,Google Play
Puoch chuol Wath,Very amazing app indeed. I'm enjoying it,2025-06-08 18:52:23,5,2025-06-08,CBE,Google Play
Xd Xd,Best,2025-06-08 15:25:37,5,2025-06-08,CBE,Google Play
Eyayu Ali,20 years,2025-06-08 09:04:48,5,2025-06-08,CBE,Google Play
zelalem fekadu,A great app. It's like carrying a bank in your pocket.,2025-06-07 17:21:52,4,2025-06-07,CBE,Google Play
Mossa Yiha,More than garrantty bank EBC.,2025-06-07 15:21:26,4,2025-06-07,CBE,Google Play
Hussein Seifu,really am happy to this app it is Siple to use everything,2025-06-07 08:02:38,5,2025-06-07,CBE,Google Play
Adonijah,I liked this app. But the User interface is very basic and not attractive at all.,2025-06-07 07:50:29,2,2025-06-07,CBE,Google Play
Aim4 Beyond,"""Why don’t your ATMs support account-to-account transfers like other countries( Kenya, Nigeria , South africa)""",2025-06-06 06:54:11,4,2025-06-06,CBE,Google Play
zakir man,what is this app problem???,2025-06-05 19:16:56,1,2025-06-05,CBE,Google Play
Yesuf Ahmed,the app is proactive and a good connections.,2025-06-05 12:55:10,5,2025-06-05,CBE,Google Play
Yonas Mekonnen,I cannot send to cbebirr app. through this app.,2025-06-05 08:12:49,3,2025-06-05,CBE,Google Play
Yibrah Yebo,good,2025-06-05 07:21:59,4,2025-06-05,CBE,Google Play
kibru tebeka,not functional,2025-06-05 04:38:12,1,2025-06-05,CBE,Google Play
Abreham Shiferaw,"everytime you uninstall the app you have to reach them out physically. very oldy! if that's one of security layer, they'd check for fraud attempt via app source directly(source:- app store, play store ... etc) implicitly ! we are in 2025, physical presence for every app install is traditional(traditionally very rare).",2025-06-04 18:33:36,1,2025-06-04,CBE,Google Play
Ibrahim Sultan,አካውንት የምናስገባበት ቦታ ስም ጽፈን ነው ከዚህ በፊት የላክንባቸውን አካዉንቶች የምንፈልገዉ ነገር ግን አዲስ አካውንቶች mr ብለዉ የሚጀምሩ በዝተዋል ግን አፕልኬሽኑ space ስንጽፍ አይቀበልም ቢስተካከል,2025-06-04 17:54:30,4,2025-06-04,CBE,Google Play
oliyad werku,best,2025-06-04 16:59:04,5,2025-06-04,CBE,Google Play
Aschalew Fereja,bezabih,2025-06-04 15:22:41,5,2025-06-04,CBE,Google Play
Kumsa Mergia,Best Mobile Banking app ever,2025-06-04 13:50:52,5,2025-06-04,CBE,Google Play
Abuki Se,good,2025-06-04 13:00:15,5,2025-06-04,CBE,Google Play
Hermela Yoseph,it was good app but it have some issues like it doesnt give me the right amount that I have in the bank and have some issues in transferring,2025-06-04 12:56:02,2,2025-06-04,CBE,Google Play
Degu Emiru,good,2025-06-04 11:59:40,5,2025-06-04,CBE,Google Play
Melkamu Chalchisa,Good,2025-06-04 11:52:50,5,2025-06-04,CBE,Google Play
Sami Kassa,👌👍,2025-06-04 09:43:21,5,2025-06-04,CBE,Google Play
Tilahun Nedi,very niec,2025-06-04 08:21:53,5,2025-06-04,CBE,Google Play
Abdurahiman Abubaker Hussein,best app of finance,2025-06-04 04:38:54,5,2025-06-04,CBE,Google Play
Milky Yebassa,yetemeta,2025-06-03 18:04:44,1,2025-06-03,CBE,Google Play
ENGIDA KEBEDE,Engida Kebede Fetera,2025-06-03 17:20:23,5,2025-06-03,CBE,Google Play
Abel Beyena,good,2025-06-03 08:32:52,5,2025-06-03,CBE,Google Play
Senayt Weldeslase,it is not safety,2025-06-03 06:14:31,1,2025-06-03,CBE,Google Play
alem haylay,NICE bank,2025-06-03 05:42:36,5,2025-06-03,CBE,Google Play
Anwar Kebede,it is like a childish app make it better the worst I have ever seen,2025-06-02 09:23:42,1,2025-06-02,CBE,Google Play
Haileselassie tesfahunegn,"It's a problem solver application, go ahead CBE, I love so much.",2025-06-02 07:40:18,5,2025-06-02,CBE,Google Play
Michael Tadesse Kitila,It's good but try to make it facilitate for your client,2025-06-02 06:11:40,4,2025-06-02,CBE,Google Play
Endalkachew Yihenew,best app,2025-06-01 18:16:28,5,2025-06-01,CBE,Google Play
Zewdu Seifu (Merga),Awesome bank,2025-06-01 17:31:42,5,2025-06-01,CBE,Google Play
