review,rating,date,bank,source,sentiment_label,sentiment_score,theme
So bad now and hard to use,5,2025-06-09,CBE,Google Play,NEGATIVE,0.999805748462677,UI/UX
"it is so amazing app. but, it is better to update it to access without any internet fees. just make it to open by free internet service when we open data connection.",5,2025-06-09,CBE,Google Play,POSITIVE,0.9496427178382874,"Account Access, UI/UX, Customer Support"
v.good app,4,2025-06-09,CBE,Google Play,POSITIVE,0.9952701926231384,UI/UX
very good app,1,2025-06-08,CBE,Google Play,POSITIVE,0.9998675584793091,UI/UX
Very amazing app indeed. I'm enjoying it,5,2025-06-08,CBE,Google Play,POSITIVE,0.9998819828033447,UI/UX
Best,5,2025-06-08,CBE,Google Play,POSITIVE,0.9997941851615906,Other
20 years,5,2025-06-08,CBE,Google Play,POSITIVE,0.991589367389679,Other
A great app. It's like carrying a bank in your pocket.,4,2025-06-07,CBE,Google Play,POSITIVE,0.9992928504943848,UI/UX
More than garrantty bank EBC.,4,2025-06-07,CBE,Google Play,POSITIVE,0.9971959590911865,Other
really am happy to this app it is Siple to use everything,5,2025-06-07,CBE,Google Play,POSITIVE,0.9988697171211243,UI/UX
I liked this app. But the User interface is very basic and not attractive at all.,2,2025-06-07,CBE,Google Play,NEGATIVE,0.9996840953826904,UI/UX
"""Why don’t your ATMs support account-to-account transfers like other countries( Kenya, Nigeria , South africa)""",4,2025-06-06,CBE,Google Play,NEGATIVE,0.9964652061462402,"Account Access, Transactions, Customer Support"
what is this app problem???,1,2025-06-05,CBE,Google Play,NEGATIVE,0.9996225833892822,UI/UX
the app is proactive and a good connections.,5,2025-06-05,CBE,Google Play,POSITIVE,0.9998679161071777,UI/UX
I cannot send to cbebirr app. through this app.,3,2025-06-05,CBE,Google Play,NEGATIVE,0.9953354001045227,UI/UX
good,4,2025-06-05,CBE,Google Play,POSITIVE,0.9998161196708679,Other
not functional,1,2025-06-05,CBE,Google Play,NEGATIVE,0.999778687953949,Other
"everytime you uninstall the app you have to reach them out physically. very oldy! if that's one of security layer, they'd check for fraud attempt via app source directly(source:- app store, play store ... etc) implicitly ! we are in 2025, physical presence for every app install is traditional(traditionally very rare).",1,2025-06-04,CBE,Google Play,NEGATIVE,0.9905162453651428,UI/UX
አካውንት የምናስገባበት ቦታ ስም ጽፈን ነው ከዚህ በፊት የላክንባቸውን አካዉንቶች የምንፈልገዉ ነገር ግን አዲስ አካውንቶች mr ብለዉ የሚጀምሩ በዝተዋል ግን አፕልኬሽኑ space ስንጽፍ አይቀበልም ቢስተካከል,4,2025-06-04,CBE,Google Play,NEGATIVE,0.9616847634315491,Other
best,5,2025-06-04,CBE,Google Play,POSITIVE,0.9997941851615906,Other
bezabih,5,2025-06-04,CBE,Google Play,POSITIVE,0.9654072523117065,Other
Best Mobile Banking app ever,5,2025-06-04,CBE,Google Play,POSITIVE,0.9997294545173645,UI/UX
good,5,2025-06-04,CBE,Google Play,POSITIVE,0.9998161196708679,Other
it was good app but it have some issues like it doesnt give me the right amount that I have in the bank and have some issues in transferring,2,2025-06-04,CBE,Google Play,NEGATIVE,0.9981192946434021,"Transactions, UI/UX"
good,5,2025-06-04,CBE,Google Play,POSITIVE,0.9998161196708679,Other
Good,5,2025-06-04,CBE,Google Play,POSITIVE,0.9998161196708679,Other
👌👍,5,2025-06-04,CBE,Google Play,NEGATIVE,0.6970566511154175,Other
very niec,5,2025-06-04,CBE,Google Play,POSITIVE,0.5192599296569824,Other
best app of finance,5,2025-06-04,CBE,Google Play,POSITIVE,0.9996503591537476,UI/UX
yetemeta,1,2025-06-03,CBE,Google Play,POSITIVE,0.6553667783737183,Other
Engida Kebede Fetera,5,2025-06-03,CBE,Google Play,NEGATIVE,0.8396738767623901,Other
good,5,2025-06-03,CBE,Google Play,POSITIVE,0.9998161196708679,Other
it is not safety,1,2025-06-03,CBE,Google Play,NEGATIVE,0.9997867941856384,Other
NICE bank,5,2025-06-03,CBE,Google Play,POSITIVE,0.9998055100440979,Other
it is like a childish app make it better the worst I have ever seen,1,2025-06-02,CBE,Google Play,NEGATIVE,0.9997958540916443,UI/UX
"It's a problem solver application, go ahead CBE, I love so much.",5,2025-06-02,CBE,Google Play,POSITIVE,0.9997678399085999,UI/UX
It's good but try to make it facilitate for your client,4,2025-06-02,CBE,Google Play,POSITIVE,0.9491770267486572,Other
best app,5,2025-06-01,CBE,Google Play,POSITIVE,0.999686598777771,UI/UX
Awesome bank,5,2025-06-01,CBE,Google Play,POSITIVE,0.9998461008071899,Other
this app has developed in a very good ways but there are some comments I need to make 1- preventing the screenshot likely not good for someone like me coz I need to make screenshot for quicker evidence. 2-it would be good if you make us to access recent transaction histories for 30 days coz we don't have to go to the Bank's in person to see old transactions or add colander category so user can easily access old transactions through colanders.,5,2025-05-31,CBE,Google Play,NEGATIVE,0.9983141422271729,"Account Access, Transactions, UI/UX"
Masha alla,5,2025-05-31,CBE,Google Play,NEGATIVE,0.9514628052711487,Other
"Recently there is big problem when sending to safaricom, telebir, and even to cbebirr wallet could anybody who is responsible fix it, it's very frustrating it's been 5 days and my money hasn't been returned it takes it out of my account but doesn't send it to my mpesa update- they have just corrected it and sent me back the money but still I'm afraid now to send again",2,2025-05-31,CBE,Google Play,NEGATIVE,0.9991102814674377,Account Access
better service,5,2025-05-31,CBE,Google Play,POSITIVE,0.9982219338417053,Customer Support
"it,s good app and time manager 👍",5,2025-05-30,CBE,Google Play,POSITIVE,0.9998370409011841,UI/UX
malkaamuu Jiidhaa Namoo,5,2025-05-30,CBE,Google Play,NEGATIVE,0.9887813329696655,Other
lower system everything,3,2025-05-30,CBE,Google Play,NEGATIVE,0.9993475079536438,Other
Nice!,5,2025-05-30,CBE,Google Play,POSITIVE,0.999863862991333,Other
Keep it up My CBE,5,2025-05-29,CBE,Google Play,POSITIVE,0.9996104836463928,Other
yes good,5,2025-05-28,CBE,Google Play,POSITIVE,0.9998410940170288,Other
"I was using this app for the last two years with no problems. It stopped working about 3 months ago. when I tried to transfer funds it gives me error ""can't do this transaction. inactive account.""",4,2025-05-27,CBE,Google Play,NEGATIVE,0.9996353387832642,"Account Access, Transactions, UI/UX"
i like everything of this app,5,2025-05-27,CBE,Google Play,POSITIVE,0.9996908903121948,UI/UX
good,5,2025-05-27,CBE,Google Play,POSITIVE,0.9998161196708679,Other
🤬🤬🤬🤬 network 🛜,1,2025-05-26,CBE,Google Play,NEGATIVE,0.6856130361557007,Other
Best,5,2025-05-26,CBE,Google Play,POSITIVE,0.9997941851615906,Other
CBE is the best financial application and and very dimple to use. I would like to say thank you so much for the developer of application. I really appreciate this app.,5,2025-05-26,CBE,Google Play,POSITIVE,0.9982792139053345,UI/UX
nice,5,2025-05-26,CBE,Google Play,POSITIVE,0.9998552799224854,Other
good job,5,2025-05-26,CBE,Google Play,POSITIVE,0.999835729598999,Other
Good,5,2025-05-25,CBE,Google Play,POSITIVE,0.9998161196708679,Other
it's awesome!!,5,2025-05-25,CBE,Google Play,POSITIVE,0.999871015548706,Other
best,5,2025-05-25,CBE,Google Play,POSITIVE,0.9997941851615906,Other
thankyou every one,5,2025-05-25,CBE,Google Play,POSITIVE,0.9998461008071899,Other
best app,5,2025-05-25,CBE,Google Play,POSITIVE,0.999686598777771,UI/UX
Ronaldo 🇵🇹 🥇,5,2025-05-25,CBE,Google Play,POSITIVE,0.9948286414146423,Other
"this app is absolutely fantastic I love it and I enjoying to it ,let us support this foundation together .",5,2025-05-25,CBE,Google Play,POSITIVE,0.9998852014541626,"UI/UX, Customer Support"
"The CBE app has been highly unreliable in recent weeks. It frequently fails to work properly on both Ethio Telecom and Safaricom networks, whether using Wi-Fi or mobile data. This week, the system was down entirely for extended periods, making it very difficult to access banking services. The app only functions intermittently, and the lack of consistency is frustrating. I hope the issues are addressed soon, and that any non-technical influences are removed from such essential services.",2,2025-05-25,CBE,Google Play,NEGATIVE,0.9997394680976868,"Account Access, UI/UX, Customer Support"
mortuary app,5,2025-05-25,CBE,Google Play,NEGATIVE,0.7924920320510864,UI/UX
it is smart app but it has stoped after some period of time on my device with out any reason .,5,2025-05-25,CBE,Google Play,NEGATIVE,0.9961044788360596,UI/UX
amazing app I am used this app for one year,4,2025-05-24,CBE,Google Play,POSITIVE,0.9991408586502075,UI/UX
👍,5,2025-05-24,CBE,Google Play,NEGATIVE,0.6970566511154175,Other
good app,5,2025-05-24,CBE,Google Play,POSITIVE,0.9998493194580078,UI/UX
i love it 😍😘,5,2025-05-24,CBE,Google Play,POSITIVE,0.9998791217803955,Other
It makes life easy!👌,5,2025-05-24,CBE,Google Play,POSITIVE,0.9993600249290466,Other
its not fast,1,2025-05-24,CBE,Google Play,NEGATIVE,0.9949808716773987,Other
wow,4,2025-05-24,CBE,Google Play,POSITIVE,0.999592125415802,Other
it is sooo good,5,2025-05-24,CBE,Google Play,POSITIVE,0.9998735189437866,Other
excellent,5,2025-05-24,CBE,Google Play,POSITIVE,0.9998434782028198,Other
ok,1,2025-05-23,CBE,Google Play,POSITIVE,0.9997851252555847,Other
Fantastic,5,2025-05-23,CBE,Google Play,POSITIVE,0.9998743534088135,Other
accessible to using,5,2025-05-23,CBE,Google Play,POSITIVE,0.999116837978363,Account Access
I like it,4,2025-05-23,CBE,Google Play,POSITIVE,0.9998593330383301,Other
good,5,2025-05-23,CBE,Google Play,POSITIVE,0.9998161196708679,Other
