review,rating,date,bank,source,sentiment_label,sentiment_score,theme
this app is good for you guys,5,2025-06-09,Dashen,Google Play,POSITIVE,0.9998170733451843,UI/UX
wow,5,2025-06-08,Dashen,Google Play,POSITIVE,0.999592125415802,Other
kalid,5,2025-06-07,Dashen,Google Play,POSITIVE,0.8998875021934509,Other
I like this mobile banking app very much. Overall user interface and navigation is awesome. But it lacks instant response when someone deposit or withdraw money.,2,2025-06-07,Dashen,Google Play,NEGATIVE,0.9904449582099915,"UI/UX, Customer Support"
love,3,2025-06-05,Dashen,Google Play,POSITIVE,0.9998735189437866,Other
መቸሸጠ,5,2025-06-03,Dashen,Google Play,NEGATIVE,0.6970566511154175,Other
wow,5,2025-06-03,Dashen,Google Play,POSITIVE,0.999592125415802,Other
gadaa,5,2025-06-01,Dashen,Google Play,NEGATIVE,0.7211456894874573,Other
Massive upgrade from the Amole app.,5,2025-05-31,Dashen,Google Play,POSITIVE,0.9646419882774353,UI/UX
good,4,2025-05-31,Dashen,Google Play,POSITIVE,0.9998161196708679,Other
very good for this app,5,2025-05-31,Dashen,Google Play,POSITIVE,0.9998138546943665,UI/UX
top,5,2025-05-31,Dashen,Google Play,POSITIVE,0.9997069239616394,Other
this app better than Amole . but the biometric on new update doesn't work,4,2025-05-31,Dashen,Google Play,NEGATIVE,0.999607503414154,UI/UX
Wow,5,2025-05-30,Dashen,Google Play,POSITIVE,0.999592125415802,Other
good,5,2025-05-30,Dashen,Google Play,POSITIVE,0.9998161196708679,Other
wow to it saff and this app,5,2025-05-30,Dashen,Google Play,POSITIVE,0.9985712766647339,UI/UX
it too slow,3,2025-05-29,Dashen,Google Play,NEGATIVE,0.9996801614761353,Performance
ዳሽን ባንክ ይለያል,4,2025-05-28,Dashen,Google Play,NEGATIVE,0.8337253928184509,Other
real life changer,5,2025-05-28,Dashen,Google Play,POSITIVE,0.9997788071632385,Other
👍👍👍,5,2025-05-28,Dashen,Google Play,NEGATIVE,0.6970566511154175,Other
good,5,2025-05-28,Dashen,Google Play,POSITIVE,0.9998161196708679,Other
nice application,5,2025-05-27,Dashen,Google Play,POSITIVE,0.9998229146003723,UI/UX
good,5,2025-05-27,Dashen,Google Play,POSITIVE,0.9998161196708679,Other
wow,5,2025-05-27,Dashen,Google Play,POSITIVE,0.999592125415802,Other
useless app ever loading take long,1,2025-05-27,Dashen,Google Play,NEGATIVE,0.9997350573539734,UI/UX
"Game changer app! Dashen Bank Super App is fast, secure, and easy to use. The three-click payment makes sending money super quick, and the QR code payment is perfect for cashless shopping. I also love the biometric login and easy airtime and bill payments. Everything I need is in one place. Dashen Bank has really raised the bar for digital banking in Ethiopia. Highly recommended!",5,2025-05-26,Dashen,Google Play,POSITIVE,0.999617338180542,"Account Access, Transactions, UI/UX"
very useful App,1,2025-05-26,Dashen,Google Play,POSITIVE,0.9995785355567932,UI/UX
"Simple, robust features? Yes, please! But the endless loading screen killed the fun—I couldn’t use it for days. Fix the glitch, and I’ll yeet a higher rating!",2,2025-05-26,Dashen,Google Play,NEGATIVE,0.8351491689682007,UI/UX
Wawww,5,2025-05-24,Dashen,Google Play,NEGATIVE,0.9418039321899414,Other
it is good but some times says duplicate transaction why?,5,2025-05-24,Dashen,Google Play,NEGATIVE,0.9836630821228027,Transactions
very Nice,5,2025-05-23,Dashen,Google Play,POSITIVE,0.9998563528060913,Other
its best,5,2025-05-23,Dashen,Google Play,POSITIVE,0.9998121857643127,Other
it is not as good as to the other mobile bank app.,1,2025-05-22,Dashen,Google Play,NEGATIVE,0.999786913394928,UI/UX
"The best of best is now arrived **Empowering Your Financial Freedom** ""Experience seamless banking at your fingertips with Dashen Bank. Empowering your financial freedom, anytime, anywhere!"" **Innovation Meets Convenience** ""Dashen Bank Mobile Banking: Where innovation meets convenience. **Secure and Reliable** ""Bank with confidence",5,2025-05-22,Dashen,Google Play,POSITIVE,0.9996517896652222,Other
wow,5,2025-05-20,Dashen,Google Play,POSITIVE,0.999592125415802,Other
Nothing is changed in the updated version. You have been collecting comments but where is the feed back you improved in this version. superapp is mot functioning today.,4,2025-05-20,Dashen,Google Play,NEGATIVE,0.9939862489700317,UI/UX
good,5,2025-05-20,Dashen,Google Play,POSITIVE,0.9998161196708679,Other
its best,5,2025-05-19,Dashen,Google Play,POSITIVE,0.9998121857643127,Other
The best app ever in finance sector,5,2025-05-18,Dashen,Google Play,POSITIVE,0.9998089671134949,UI/UX
Its good app than other compitators but it confuse when we transfer it needs OTP and PIN most user inter their pin instead of OTP we know the litrecy level of our society so if it is device based i dont know the needs of OTP so please try to fix,3,2025-05-18,Dashen,Google Play,NEGATIVE,0.9983357787132263,"Transactions, UI/UX"
dashen bank or dashen super app?,1,2025-05-17,Dashen,Google Play,NEGATIVE,0.9937525391578674,UI/UX
wowwwe app,5,2025-05-17,Dashen,Google Play,POSITIVE,0.9829692244529724,UI/UX
"Transferring to other bank accounts is a hastle and inconvenient .Get used to seeing "" please try again """,2,2025-05-17,Dashen,Google Play,NEGATIVE,0.9994332194328308,"Account Access, Transactions, UI/UX"
good,5,2025-05-16,Dashen,Google Play,POSITIVE,0.9998161196708679,Other
always lagging,1,2025-05-16,Dashen,Google Play,NEGATIVE,0.9998013377189636,Other
Amazing Application...,5,2025-05-16,Dashen,Google Play,POSITIVE,0.9998786449432373,UI/UX
Fantastic,5,2025-05-16,Dashen,Google Play,POSITIVE,0.9998743534088135,Other
"Dashen bank app is very good, but sometimes it is not working well",5,2025-05-15,Dashen,Google Play,NEGATIVE,0.9976341724395752,UI/UX
its my choice,5,2025-05-15,Dashen,Google Play,POSITIVE,0.9962010979652405,Other
wow apo,5,2025-05-15,Dashen,Google Play,POSITIVE,0.9994785189628601,Other
awesome app keep going,5,2025-05-14,Dashen,Google Play,POSITIVE,0.9998502731323242,UI/UX
wow,5,2025-05-14,Dashen,Google Play,POSITIVE,0.999592125415802,Other
👍,5,2025-05-14,Dashen,Google Play,NEGATIVE,0.6970566511154175,Other
"It grows ethiopian digital banking step ahead.All fetures in one,simple fast and convince.",5,2025-05-14,Dashen,Google Play,POSITIVE,0.9992207288742065,Other
Game changer,5,2025-05-13,Dashen,Google Play,POSITIVE,0.9887570738792419,Other
Totally amazing,5,2025-05-13,Dashen,Google Play,POSITIVE,0.9998782873153687,Other
super 😎,5,2025-05-13,Dashen,Google Play,POSITIVE,0.9331682920455933,Other
what a helpful app!!!!,5,2025-05-13,Dashen,Google Play,POSITIVE,0.9990901947021484,"UI/UX, Customer Support"
Good,4,2025-05-13,Dashen,Google Play,POSITIVE,0.9998161196708679,Other
nice,5,2025-05-13,Dashen,Google Play,POSITIVE,0.9998552799224854,Other
wow,5,2025-05-13,Dashen,Google Play,POSITIVE,0.999592125415802,Other
"To be honest, best banking and lifestyle app in Ethiopia.",5,2025-05-12,Dashen,Google Play,POSITIVE,0.9997262358665466,UI/UX
fast,5,2025-05-12,Dashen,Google Play,POSITIVE,0.9989494681358337,Other
"A must have, seamless, all in one digital platform ""DB Superapp""! Keep living your motto ""Always one step ahead""",5,2025-05-12,Dashen,Google Play,POSITIVE,0.9966461062431335,UI/UX
"This App makes digital banking effortless and convenient. User-friendly interface, secure transactions, and excellent features for managing finances efficiently.",4,2025-05-10,Dashen,Google Play,POSITIVE,0.9991555213928223,"Transactions, UI/UX"
good,5,2025-05-09,Dashen,Google Play,POSITIVE,0.9998161196708679,Other
Amazing app super easy to use and best design. loved it.,5,2025-05-09,Dashen,Google Play,POSITIVE,0.9998630285263062,UI/UX
its the best ever,5,2025-05-08,Dashen,Google Play,POSITIVE,0.9998552799224854,Other
nice,5,2025-05-08,Dashen,Google Play,POSITIVE,0.9998552799224854,Other
excellent game changer App,5,2025-05-08,Dashen,Google Play,POSITIVE,0.9998358488082886,UI/UX
I am highly excited by using this application and it is the most favorable as well as preferrable mobile app.,5,2025-05-03,Dashen,Google Play,POSITIVE,0.9995176792144775,UI/UX
it seems me logging out within minutes,1,2025-05-03,Dashen,Google Play,NEGATIVE,0.9982207417488098,Other
nice app especially GUI and I have got some error when you send within dashen bank the receipter is not get SMS notification,4,2025-05-03,Dashen,Google Play,NEGATIVE,0.9857989549636841,UI/UX
yes i want dashen super open,5,2025-05-02,Dashen,Google Play,POSITIVE,0.9994350075721741,Other
Best App,5,2025-05-02,Dashen,Google Play,POSITIVE,0.999686598777771,UI/UX
faster than this version,5,2025-05-01,Dashen,Google Play,POSITIVE,0.9991979002952576,Other
"Best UI mobile banking app, props to design team",5,2025-04-30,Dashen,Google Play,POSITIVE,0.9991565942764282,UI/UX
thank you,4,2025-04-30,Dashen,Google Play,POSITIVE,0.9998352527618408,Other
great app,5,2025-04-30,Dashen,Google Play,POSITIVE,0.999821126461029,UI/UX
bad.,1,2025-04-30,Dashen,Google Play,NEGATIVE,0.9997698664665222,Other
Dashen bank always one step ahead,5,2025-04-30,Dashen,Google Play,POSITIVE,0.9996015429496765,Other
